product_id,name,brand,category,price,unit_price,unit_price_qt,currency,timestamp,is_offer
19465,"Økologisk Rød Paprika Spania/Holland, 1 stk",,Økologisk frukt og grønt,28.3,188.67,kilogram,NOK,2026-03-03T13:10:33.452Z,false
27048,"Mandelpoteter Norge, 2 kg",,Grønnsaker,66.5,33.25,kilogram,NOK,2026-03-03T13:10:33.453Z,false
23278,"Rødbeter Ferske, Norge, 500 g",,Grønnsaker,41.9,83.8,kilogram,NOK,2026-03-03T13:10:33.454Z,false
9440,"Gul Løk Norge, 4 stk",,Grønnsaker,18.6,29.52,kilogram,NOK,2026-03-03T13:10:33.454Z,false
19699,"Paprika Mix 3 pk Gul, Grønn & Rød Spania / Holland, 500 g",,Grønnsaker,43.4,86.8,kilogram,NOK,2026-03-03T13:10:33.455Z,false
9476,"Aspargesbønner Kenya/ Egypt, 150 g",,Grønnsaker,22.6,150.67,kilogram,NOK,2026-03-03T13:10:33.455Z,true
9374,"Reddik Nederland, 130 g",,Grønnsaker,28.5,219.23,kilogram,NOK,2026-03-03T13:10:33.456Z,false
9392,"Aubergine Spania / Nederland, 1 stk",,Grønnsaker,20.7,94.09,kilogram,NOK,2026-03-03T13:10:33.456Z,true
9218,"Sjalottløk I nett, Nederland, 350 g",,Grønnsaker,37,108.29,kilogram,NOK,2026-03-03T13:10:33.457Z,false
23925,"Økologisk Søtpotet Spania / Egypt, 500 g",,Økologisk frukt og grønt,39.9,79.8,kilogram,NOK,2026-03-03T13:10:33.457Z,false
23279,"Chioggiabeter Ferske, Norge, 500 g",,Grønnsaker,49.9,99.8,kilogram,NOK,2026-03-03T13:10:33.458Z,false
22489,"Stekemix med Aspargesbønner Gulrot & Løk Marokko/ Spania, 200 g",Huseby Gaard,Grønnsaker,64.4,322,stykk,NOK,2026-03-03T13:10:34.697Z,false
9320,"Stor Spisspaprika Rød Klasse 1 Marokko / Spania / Nederland, 350 g",,Grønnsaker,39.75,113.57,kilogram,NOK,2026-03-03T13:10:34.700Z,true
23532,"Norske poteter Asterix, 2,5 kg",,Grønnsaker,68.5,27.4,kilogram,NOK,2026-03-03T13:10:34.702Z,false
19627,"Gul Løk Vår Laveste Pris, Norge, 1 kg",,Grønnsaker,24.9,24.9,kilogram,NOK,2026-03-03T13:10:34.703Z,false
32169,"San Marzano Klasetomater Norge, 400 g",Wiig Gartneri,Grønnsaker,51.9,129.75,kilogram,NOK,2026-03-03T13:10:34.704Z,false
23277,"Ferske Gule Beter Norge, 500 g",,Grønnsaker,49.9,99.8,kilogram,NOK,2026-03-03T13:10:34.705Z,false
19702,"Plommetomat Nederland / Spania, 500 g",,Grønnsaker,42.9,85.8,kilogram,NOK,2026-03-03T13:10:34.706Z,true
19630,"Rødløk Laveste Pris, Norge, 1 kg",,Grønnsaker,22.9,22.9,kilogram,NOK,2026-03-03T13:10:34.706Z,false
9296,"Chilipepper Rød Spania/ Nederland, 50 g",,Grønnsaker,17.9,358,kilogram,NOK,2026-03-03T13:10:34.707Z,false
23217,"Rotmiks Maks 3 til nedsatt pris, Beter, Sellerirot & Pastinakk, Nederland, 1 kg",,Grønnsaker,46.5,46.5,kilogram,NOK,2026-03-03T13:10:34.708Z,true
29594,"Røde Minipaprika, Ekstra Søte Marokko / Spania, 150 g",,Grønnsaker,46.9,312.67,kilogram,NOK,2026-03-03T13:10:34.710Z,true
19444,"Økologiske tomater Spania, 500 g",,Økologisk frukt og grønt,53.9,107.8,kilogram,NOK,2026-03-03T13:10:34.711Z,false
26406,"Økologisk Stangselleri Nederland / Spania, 350 g",,Økologisk frukt og grønt,41,117.14,kilogram,NOK,2026-03-03T13:10:34.712Z,false
26471,"Ferdigkokte poteter uten skall Norge, 3 kg",,Grønnsaker,147.9,49.3,kilogram,NOK,2026-03-03T13:10:34.713Z,false
9368,"Stangselleri Spania, 1 stk",,Grønnsaker,27.9,27.9,stykk,NOK,2026-03-03T13:10:34.713Z,false
19672,"Bakepotet Frankrike/ England, 1 stk",,Grønnsaker,20.6,52.82,kilogram,NOK,2026-03-03T13:10:34.714Z,true
26408,"Økologisk Hvitløk 2/3 stk Kina, 2 stk",,Økologisk frukt og grønt,32.3,215.33,kilogram,NOK,2026-03-03T13:10:34.715Z,false
19693,"Habanero Rød Marocco/ Nederland, 50 g",,Grønnsaker,26.9,538,kilogram,NOK,2026-03-03T13:10:34.716Z,false
25945,"Norske poteter Colombo, 2,5 kg",,Grønnsaker,59.8,25.6,kilogram,NOK,2026-03-03T13:10:34.717Z,false
29595,"Orange mini Paprika, ekstra søte Marokko / Spania, 150 g",,Grønnsaker,48.9,326,kilogram,NOK,2026-03-03T13:10:34.718Z,true
19462,"Økologisk Rødløk Nederland, 500 g",,Økologisk frukt og grønt,51.9,103.8,kilogram,NOK,2026-03-03T13:10:34.719Z,false
26737,"Jordskokk Tyrkia/ Frankrike, 500 g",,Grønnsaker,56.9,113.8,kilogram,NOK,2026-03-03T13:10:34.720Z,false
19459,"Økologisk Gul Løk Nederland, 750 g",,Økologisk frukt og grønt,55.4,73.87,kilogram,NOK,2026-03-03T13:10:34.721Z,false
19696,"Jalapeño Grønn Nederland, 50 g",,Grønnsaker,25.9,518,kilogram,NOK,2026-03-03T13:10:34.721Z,false
19456,"Økologisk Kålrot Norge, 1 stk",,Økologisk frukt og grønt,46.6,49.05,kilogram,NOK,2026-03-03T13:10:36.087Z,false
19705,"Cherrytomater, Gule Marokko / Spania / Tunisia, 250 g",,Grønnsaker,49.9,199.6,kilogram,NOK,2026-03-03T13:10:36.090Z,false
9359,"Stor Kålrot Norge, 1 kg",,Grønnsaker,42,42,kilogram,NOK,2026-03-03T13:10:36.092Z,false
24536,"Chilipepper Grønn Spania/ Holland, 50 g",,Grønnsaker,20.9,418,kilogram,NOK,2026-03-03T13:10:36.093Z,false
19048,"Rødløk Skivet Norge, 250 g",Huseby Gaard,Grønnsaker,48.8,195.2,kilogram,NOK,2026-03-03T13:10:36.094Z,false
60593,"Tomater klase Holland, 500 g",,Grønnsaker,35.7,71.4,kilogram,NOK,2026-03-03T13:10:36.095Z,false
9305,"Pastinakk Norge, 200 g",,Grønnsaker,21.8,109,kilogram,NOK,2026-03-03T13:10:36.097Z,false
60594,"Mini plommetomat Norge, 175 g",Wiig Gartneri,Grønnsaker,35.4,202.29,kilogram,NOK,2026-03-03T13:10:36.098Z,false
9377,"Persillerot Nederland / Frankrike, 200 g",,Grønnsaker,29.8,149,kilogram,NOK,2026-03-03T13:10:36.099Z,false
61760,"Runde tomater Spania/ Marokko, 500 g",,Grønnsaker,43.4,86.8,kilogram,NOK,2026-03-03T13:10:36.100Z,false
9449,"Sellerirot 1 stk Norge, 500 g",,Grønnsaker,35,70,kilogram,NOK,2026-03-03T13:10:36.101Z,false
63591,"Økologiske Poteter Vasket Colomba Anouk , Norge, 1,5 kg",,Økologisk frukt og grønt,64.1,42.73,kilogram,NOK,2026-03-03T13:10:36.102Z,false
9572,"Fennikel Italia / Tyskland, 1 stk",,Grønnsaker,29.5,86.76,kilogram,NOK,2026-03-03T13:10:36.103Z,false
